ccaa,anio,estado,motor,filas,pct,n_conc,conceptos,nota
and,2025,VERDE_PRAGM,and-resumen-cap-prog+and-transform,107,35.5,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"Fix (sección,código) 2026-07-22: dedup por sección recupera 81B/71F/12S (cobertura ~98% vs Hacienda)"
and,2026,VERDE_PRAGM,and-resumen-cap-prog+and-transform,107,35.5,12,dependencia|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"Fix (sección,código) 2026-07-22: dedup por sección recupera 81B/71F/12S (cobertura ~98% vs Hacienda)"
ara,2015,REVISAR,ara-pdf-program-total+ara-transform,163,28.8,9,direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2016,REVISAR,ara-pdf-program-total+ara-transform,158,27.8,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2017,REVISAR,ara-pdf-program-total+ara-transform,163,28.8,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2018,REVISAR,ara-pdf-program-total+ara-transform,156,26.9,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2019,REVISAR,ara-pdf-program-total+ara-transform,156,26.9,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2020,REVISAR,ara-pdf-program-total+ara-transform,162,25.9,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2021,REVISAR,ara-pdf-program-total+ara-transform,183,29.0,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2022,REVISAR,ara-pdf-program-total+ara-transform,178,27.0,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2023,REVISAR,ara-pdf-program-total+ara-transform,178,27.5,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2024,REVISAR,ara-pdf-program-total+ara-transform,194,28.9,11,direccion|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2025,REVISAR,ara-pdf-program-total+ara-transform,194,28.9,11,direccion|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ara,2026,REVISAR,ara-pdf-program-total+ara-transform,194,28.9,11,direccion|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,FIX 2026-07-02 educacion 421*/422* (4222 EDUC SECUNDARIA abreviado) + soberania 71*/5311 (agrario) + sanidad 4124/4132
ast,2015,REVISAR,ast-distribucion-gasto+ast-transform,91,31.9,9,direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2016,REVISAR,ast-distribucion-gasto+ast-transform,92,31.5,9,direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2017,REVISAR,ast-distribucion-gasto+ast-transform,92,31.5,9,direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2018,REVISAR,ast-distribucion-gasto+ast-transform,91,31.9,9,direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2019,REVISAR,ast-distribucion-gasto+ast-transform,91,31.9,9,direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2020,REVISAR,ast-distribucion-gasto+ast-transform,96,33.3,9,direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2021,REVISAR,ast-distribucion-gasto+ast-transform,97,34.0,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2022,REVISAR,ast-distribucion-gasto+ast-transform,97,34.0,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,FIX 2026-07-20: 313E GESTION SERVICIOS SOCIALES fuera de direccion (no es alta direccion). Bloque 313x = NULL estructural (el tomo no baja de programa; dependencia vive dentro de 313A)
ast,2023,REVISAR,ast-distribucion-gasto+ast-transform,97,34.0,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2024,REVISAR,ast-distribucion-gasto+ast-transform,106,33.0,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2025,REVISAR,ast-distribucion-gasto+ast-transform,107,32.7,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
ast,2026,REVISAR,ast-distribucion-gasto+ast-transform,106,32.1,10,direccion|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,Fix denom-envuelta 2026-07-22: captura 011C deuda + 712F (cobertura ~98% vs Hacienda)
bal,2015,VERDE_PRAGM,bal-frameset-secciones+bal-transform,131,35.9,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 re-descarga titol0-9 reales (toms/tom3, sin cero); faltaba Educacio entera"
bal,2016,VERDE_PRAGM,bal-frameset-secciones+bal-transform,132,35.6,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 re-descarga titol0-9 reales (toms/tom3, sin cero); faltaba Educacio entera"
bal,2017,VERDE_PRAGM,bal-frameset-secciones+bal-transform,129,40.3,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
bal,2018,VERDE_PRAGM,bal-frameset-secciones+bal-transform,136,41.2,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
bal,2019,VERDE_PRAGM,bal-frameset-secciones+bal-transform,141,39.0,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
bal,2020,VERDE_PRAGM,bal-frameset-secciones+bal-transform,150,43.3,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
bal,2021,VERDE_PRAGM,bal-frameset-secciones+bal-transform,143,44.1,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
bal,2022,VERDE_PRAGM,bal-frameset-secciones+bal-transform,143,42.0,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
bal,2023,VERDE_PRAGM,bal-frameset-secciones+bal-transform,150,45.3,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
bal,2024,VERDE_PRAGM,bal-frameset-secciones+bal-transform,145,44.8,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
bal,2025,VERDE_PRAGM,bal-frameset-secciones+bal-transform,141,44.7,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
bal,2026,VERDE_PRAGM,bal-resumen-programas-pdf+bal-transform,148,44.6,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
can,2015,REVISAR,can-tomo3-resumen-programas+can-transform,139,31.7,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2016,REVISAR,can-tomo3-resumen-programas+can-transform,140,31.4,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2017,REVISAR,can-tomo3-resumen-programas+can-transform,141,31.2,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2018,REVISAR,can-tomo3-resumen-programas+can-transform,140,31.4,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2019,REVISAR,can-tomo3-resumen-programas+can-transform,142,32.4,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2020,REVISAR,can-tomo3-resumen-programas+can-transform,144,32.6,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2021,REVISAR,can-tomo3-resumen-programas+can-transform,141,32.6,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2022,REVISAR,can-tomo3-resumen-programas+can-transform,135,33.3,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2023,REVISAR,can-tomo3-resumen-programas+can-transform,135,33.3,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2024,REVISAR,can-tomo3-resumen-programas+can-transform,140,33.6,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2025,REVISAR,can-tomo3-resumen-programas+can-transform,141,34.8,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
can,2026,VERDE_PRAGM,can-tomo3-resumen-programas+can-transform,143,35.0,12,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,
cat,2015,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,96,40.6,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2016,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,94,41.5,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2017,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,94,41.5,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2018,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,94,41.5,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2019,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,97,40.2,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2020,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,97,40.2,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2021,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,97,40.2,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2022,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,99,39.4,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2023,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,99,39.4,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2024,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,99,39.4,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2025,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,99,39.4,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cat,2026,VERDE_PRAGM,cat-programa-generalitat-suma+cat-transform,101,38.6,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
clm,2015,VERDE_PRAGM,clm-gastosf-csv+clm-transform,99,47.5,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2016,VERDE_PRAGM,clm-gastosf-csv+clm-transform,99,49.5,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2017,VERDE_PRAGM,clm-gastosf-csv+clm-transform,98,50.0,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2018,VERDE_PRAGM,clm-gastosf-csv+clm-transform,98,50.0,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2019,VERDE_PRAGM,clm-gastosf-csv+clm-transform,99,49.5,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2020,VERDE_PRAGM,clm-gastosf-csv+clm-transform,100,49.0,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2021,VERDE_PRAGM,clm-gastosf-csv+clm-transform,101,48.5,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2022,VERDE_PRAGM,clm-tomo-I-resumen-secciones+clm-transform,111,46.8,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2023,VERDE_PRAGM,clm-tomo-I-resumen-secciones+clm-transform,114,45.6,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2024,VERDE_PRAGM,clm-tomo-I-resumen-secciones+clm-transform,114,46.5,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2025,VERDE_PRAGM,clm-tomo-I-resumen-secciones+clm-transform,113,46.9,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
clm,2026,VERDE_PRAGM,clm-tomo-I-resumen-secciones+clm-transform,113,46.9,11,dependencia|direccion|discapacidad|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 empleo 324A/B (rename FP), salud_mental de-fabricado (-313A/-313E), 313E->diversidad, 432A urbanismo->vivienda"
cnt,2015,VERDE_PRAGM,cnt-centros-suma-capitulos+cnt-transform,86,41.9,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2016,VERDE_PRAGM,cnt-centros-suma-capitulos+cnt-transform,87,42.5,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2017,VERDE_PRAGM,cnt-centros-suma-capitulos+cnt-transform,87,42.5,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2018,VERDE_PRAGM,cnt-total-programa-suma-servicios+cnt-transform,85,42.4,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2019,VERDE_PRAGM,cnt-total-programa-suma-servicios+cnt-transform,86,43.0,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2020,VERDE_PRAGM,cnt-total-programa-suma-servicios+cnt-transform,90,42.2,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2021,VERDE_PRAGM,cnt-total-programa-suma-servicios+cnt-transform,90,42.2,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2022,VERDE_PRAGM,cnt-total-programa-suma-servicios+cnt-transform,95,42.1,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2023,VERDE_PRAGM,cnt-total-programa-suma-servicios+cnt-transform,91,41.8,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2024,VERDE_PRAGM,cnt-total-programa-suma-servicios+cnt-transform,89,42.7,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2025,VERDE_PRAGM,cnt-total-programa-suma-servicios+cnt-transform,88,43.2,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cnt,2026,VERDE_PRAGM,cnt-total-programa-suma-servicios+cnt-transform,91,45.1,10,dependencia|direccion|educacion|empleo|idi|igualdad|sanidad|soberania|turismo|vivienda,"FIX 2026-07-02 purga codigos de otra anada: 313A(salud publica)->sanidad, 231C(infancia)->diversidad, 232D/232A/323A fuera de dep/igualdad, +keyword sanitario"
cym,2015,VERDE_PRAGM,cym-bocyl-territorial+cym-transform,104,56.7,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cym,2016,VERDE_PRAGM,cym-jcyl-datosabiertos+cym-transform,103,52.4,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cym,2017,VERDE_PRAGM,cym-jcyl-datosabiertos+cym-transform,102,52.9,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cym,2018,VERDE_PRAGM,cym-jcyl-datosabiertos+cym-transform,102,52.9,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cym,2019,VERDE_PRAGM,cym-jcyl-datosabiertos+cym-transform,102,52.9,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cym,2020,VERDE_PRAGM,cym-jcyl-datosabiertos+cym-transform,102,52.9,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cym,2021,VERDE_PRAGM,cym-jcyl-datosabiertos+cym-transform,104,51.9,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
cym,2022,VERDE_PRAGM,cym-jcyl-datosabiertos+cym-transform,104,51.9,13,dependencia|direccion|discapacidad|diversidad|educacion|empleo|idi|igualdad|salud_mental|sanidad|soberania|turismo|vivienda,
